cluster_id,logFC,logCPM,LR,p_val,p_adj,celltype
CD4+ TE,1.8672114586364306,15.976873535809663,29.21822736721095,6.466798500877969e-8,5.820118650790172e-7,CD4+ TE
CD4+ CM,2.2323289764182794,13.543461770254257,21.63981736458509,3.2895165941958047e-6,9.868549782587414e-6,CD4+ CM
CD4+ TFH,2.041777888288442,12.53616345845565,21.647732484567833,3.2759704602183685e-6,9.868549782587414e-6,CD4+ TFH
CD4+ Naive,1.5113933648416986,12.484491999841316,6.364074596142011,0.01164538131286384,0.02620210795394364,CD4+ Naive
CD8+ EM,-0.7592067177026264,18.406845924014,5.629725322048358,0.017658398250101806,0.03178511685018325,CD8+ EM
TCRgd+,1.0611134846158823,15.362290990902604,3.979633955693423,0.04605357028536638,0.06908035542804956,TCRgd+
CD4+ Th1,1.0033422008009358,12.499940364083137,1.491596935946852,0.22196885145073134,0.28538852329379744,CD4+ Th1
CD4+ EM,0.09065414580701091,18.48922817208868,0.09472619102680468,0.7582526305810101,0.7582526305810101,CD4+ EM
CD8+ TE,0.20345157787417542,17.188217797624116,0.1395381045134343,0.7087406312901957,0.7582526305810101,CD8+ TE
