"sample","cell_type","marker","p_value","control_mean","KO_mean","p_adj"
"CD52KO_BC9507","CD4 T","CD14",0.37873825188653,-1.20102484500816,-0.980912147420292,0.690818571441031
"CD52KO_BC9507","CD4 T","CD56",0.37873825188653,0.0828121808506731,0.085488886745358,0.690818571441031
"CD52KO_BC9507","CD8 T","CCR10",0.384820773523065,-0.774017884196565,-0.30411456985025,0.696342352089356
"CD52KO_BC8599","CD4 T","CCR6",0.409679148772296,-0.0563802317560781,0.0494918268455933,0.727314716522062
"CD52KO_BC8599","CD4 T","CD40L",0.409811388330936,0.766620149881122,-0.242687789347079,0.727314716522062
"CD52KO_BC8599","CD8 T","CXCR3",0.417886964317501,0.646131537413962,0.507972847821217,0.727314716522062
"CD52KO_BC8599","CD8 T","LAG3",0.417886964317501,0.226459015514175,0.163755230972624,0.727314716522062
"CD52KO_BC9507","CD8 T","KLRG1",0.417301560012822,0.855404795111742,1.17502489235474,0.727314716522062
"CD52KO_BC0610","CD4 T","TCRab",0.44827886220819,3.14620126857076,3.28028338545943,0.768632808884646
"CD52KO_BC0610","CD8 T","CD40L",0.448369138516044,-0.303303710974074,-0.149682799081384,0.768632808884646
"CD52KO_BC9507","CD4 T","CCR6",0.459671590958564,-0.59401954744962,-0.451916915110168,0.782127781630989
"CD52KO_BC8599","CD8 T","CD25",0.463594468631247,1.38020528091661,1.04759020705536,0.782959547021662
"CD52KO_BC0610","CD4 T","CXCR3",0.48871787318527,0.198318496058903,0.295593274857889,0.784701937227053
"CD52KO_BC0610","CD4 T","IFNg",0.48871787318527,0.838994207209698,0.838827047758017,0.784701937227053
"CD52KO_BC0610","CD4 T","KLRG1",0.48871787318527,1.37797977811477,1.51901737142772,0.784701937227053
"CD52KO_BC0610","CD8 T","CD45RO",0.476347722267385,2.92973303593531,3.22931368564534,0.784701937227053
"CD52KO_BC8599","CD4 T","CD3",0.48871787318527,4.35179407660425,4.2202659218306,0.784701937227053
"CD52KO_BC8599","CD4 T","TNFa",0.48871787318527,1.51055314919826,1.3792539686908,0.784701937227053
"CD52KO_BC9507","CD8 T","CD8",0.486905816260492,5.40073681771626,4.94794525337463,0.784701937227053
"CD52KO_BC0610","CD8 T","LAG3",0.505256839747011,-0.024117488627764,0.00263895919566003,0.788694738083503
"CD52KO_BC8599","CD8 T","CD4",0.51195974226473,1.98273187186908,1.60615211033067,0.788694738083503
"CD52KO_BC8599","CD8 T","CD95",0.51195974226473,3.54468328536993,3.28374909773968,0.788694738083503
"CD52KO_BC8599","CD8 T","OX40",0.511801016902574,-0.434559747044583,-0.344957794178418,0.788694738083503
"CD52KO_BC8599","CD8 T","TIM3",0.511801016902574,0.828473021368702,0.737643488191767,0.788694738083503
"CD52KO_BC9507","CD4 T","LAG3",0.503514710426271,-0.142507488317265,-0.116435937977225,0.788694738083503
"CD52KO_BC9507","CD8 T","CXCR3",0.523928144917521,0.701346987989423,0.805481184384049,0.801715550612046
"CD52KO_BC0610","CD8 T","CD107a",0.535064454478206,1.00013878314656,0.650927674296943,0.80259668171731
"CD52KO_BC0610","CD8 T","CD4",0.535064454478206,0.817751990389997,0.994639456021578,0.80259668171731
"CD52KO_BC0610","CD8 T","TNFa",0.535064454478206,1.1689201740479,1.07098255047643,0.80259668171731
"CD52KO_BC8599","CD8 T","IFNg",0.562833753917326,0.615350142651981,1.08326947932623,0.807082364107863
"CD52KO_BC8599","CD8 T","TNFa",0.562833753917326,1.86530382001042,1.68468418365604,0.807082364107863
"CD52KO_BC9507","CD4 T","CD127",0.549471691823942,0.958203191781972,1.19550944136962,0.807082364107863
"CD52KO_BC9507","CD4 T","CD8",0.549471691823942,2.47600642035989,2.58376739840521,0.807082364107863
"CD52KO_BC9507","CD4 T","OX40",0.549471691823942,1.79047393287484,1.83288491318134,0.807082364107863
"CD52KO_BC9507","CD8 T","OX40",0.562342605179145,1.25079464424138,1.15810031734483,0.807082364107863
"CD52KO_BC9507","CD8 T","PD.1",0.562342605179145,0.234257151968029,0.111670361349961,0.807082364107863
"CD52KO_BC0610","CD4 T","CCR4",0.575156576727657,-0.236335145529061,-0.201189920148278,0.809479626505591
"CD52KO_BC0610","CD4 T","CD14",0.575156576727657,0.887506987267798,0.949265651944558,0.809479626505591
"CD52KO_BC8599","CD4 T","CD25",0.575156576727657,2.14153666327106,2.3230156379436,0.809479626505591
"CD52KO_BC8599","CD4 T","CCR4",0.597739943079748,-0.2986214290324,-0.267051516165174,0.825967921346561
"CD52KO_BC9507","CD4 T","CD19",0.597406269627556,1.11809018778568,0.676820863186052,0.825967921346561
"CD52KO_BC9507","CD4 T","CXCR3",0.597406269627556,0.620360946648625,0.723275394903907,0.825967921346561
"CD52KO_BC0610","CD4 T","TCRgd",0.620928143823115,1.4854109146253,1.4088381562285,0.829611414937726
"CD52KO_BC0610","CD8 T","CCR10",0.629485854316783,0.710621940974208,0.297895932062979,0.829611414937726
"CD52KO_BC0610","CD8 T","CD28",0.629485854316783,2.28086348054863,2.23165111334836,0.829611414937726
"CD52KO_BC0610","CD8 T","CXCR5",0.629485854316783,-0.0712608489069618,-0.257355399600015,0.829611414937726
"CD52KO_BC8599","CD4 T","CCR10",0.620928143823115,-0.516657654103215,-0.225461471689167,0.829611414937726
"CD52KO_BC8599","CD4 T","CD39",0.620928143823115,2.30731220158491,2.64664096120858,0.829611414937726
"CD52KO_BC8599","CD4 T","CD45RO",0.620928143823115,3.71957792642192,4.24602927992296,0.829611414937726
"CD52KO_BC8599","CD8 T","CD39",0.616029207546536,2.59037749976151,2.25352597691482,0.829611414937726
"CD52KO_BC9507","CD4 T","CD39",0.647156337931267,0.695433886352275,0.53347009136514,0.843152257419023
"CD52KO_BC9507","CD4 T","CD62L",0.647156337931267,-0.730437905947822,-1.02706342594057,0.843152257419023
"CD52KO_BC0610","CD8 T","CD8",0.662471851653639,4.69000699587902,4.34850766445302,0.858202171460396
"CD52KO_BC8599","CD8 T","CD45RO",0.671322091715324,3.60200426527058,3.21810692871768,0.864753880853638
