cluster_id,logFC,logCPM,LR,p_val,p_adj,celltype
CD4+ CM,1.5735171783140902,13.679984618304116,11.283861221579059,7.818377578796396e-4,0.007036539820916757,CD4+ CM
CD4+ TFH,1.037346745160036,12.788522711870165,5.039756522074137,0.02477197148990301,0.11147387170456355,CD4+ TFH
CD4+ TE,0.567729225804275,16.3708709220057,2.5596725675515444,0.10962128540861038,0.32886385622583114,CD4+ TE
CD4+ Naive,0.7267996274804515,12.724941767297878,1.023430923723673,0.3117065645352774,0.7013397702043741,CD4+ Naive
CD8+ EM,-0.26393189174698783,18.115870769098265,0.5535856922001017,0.45685627231268844,0.7532751965788427,CD8+ EM
CD4+ Th1,0.5817382304757767,12.646058697795116,0.4503190861478785,0.5021834643858951,0.7532751965788427,CD4+ Th1
TCRgd+,0.22618799931379366,15.688163303465954,0.16911651064938837,0.6808981890589759,0.8754405287901119,TCRgd+
CD4+ EM,-0.0656851752214194,18.567022595454173,0.056966224754461336,0.8113568415506586,0.9127764467444909,CD4+ EM
CD8+ TE,0.0439492289158586,17.264345401210452,0.008602951767223033,0.9261005067842611,0.9261005067842611,CD8+ TE
